None1,Number,None2,Name,Accepted,Submission
1,1057,-1,"A New Growth Industry",1897,5917
0,1058,-1,"Humble Numbers",15885,36382
1,1059,-1,"Dividing",11410,40924
0,1060,-1,"Leftmost Digit",9734,24907
1,1061,-1,"Rightmost Digit",35947,97942
0,1062,-1,"Text Reverse",26035,67785
1,1063,-1,"Exponentiation",4078,13447
0,1064,-1,"Financial Management",14387,26240
1,1065,-1,"I Think I Need a Houseboat",4863,17450
0,1066,-1,"Last non-zero Digit in N!",2629,10772
1,1067,-1,"Gap",1322,2539
0,1068,-1,"Girls and Boys",8046,16967
1,1069,-1,"Monkey and Banana",15584,28890
0,1070,-1,"Milk",10679,38040
1,1071,-1,"The area",10446,14896
0,1072,-1,"Nightmare",9505,19271
1,1073,-1,"Online Judge",5110,13528
0,1074,-1,"Doing Homework",9303,19307
1,1075,-1,"What Are You Talking About",13568,38399
0,1076,-1,"An Easy Task",20208,31337
1,1077,-1,"Catching Fish",1260,3354
0,1078,-1,"FatMouse and Cheese",9893,22687
1,1079,-1,"Calendar Game",4523,7630
0,1080,-1,"Human Gene Functions",2907,5282
1,1081,-1,"To The Max",8237,18272
0,1082,-1,"Matrix Chain Multiplication",2024,3346
1,1083,-1,"Courses",7650,16477
0,1084,-1,"What Is Your Grade?",5594,17260
1,1085,-1,"Holding Bin-Laden Captive!",13879,31920
0,1086,-1,"You can Solve a Geometry Problem too",7100,14468
1,1087,-1,"Super Jumping! Jumping! Jumping!",34256,72921
0,1088,-1,"Write a simple HTML Browser",5851,20934
1,1089,-1,"A+B for Input-Output Practice (I)",127454,252553
0,1090,-1,"A+B for Input-Output Practice (II)",117142,187081
1,1091,-1,"A+B for Input-Output Practice (III)",106168,201771
0,1092,-1,"A+B for Input-Output Practice (IV)",99046,192466
1,1093,-1,"A+B for Input-Output Practice (V)",91807,139888
0,1094,-1,"A+B for Input-Output Practice (VI)",86213,133120
1,1095,-1,"A+B for Input-Output Practice (VII)",83983,129239
0,1096,-1,"A+B for Input-Output Practice (VIII)",83734,290976
1,1097,-1,"A hard puzzle",23280,63839
0,1098,-1,"Ignatius's puzzle",10501,15026
1,1099,-1,"Lottery ",2451,5446
1,1101,-1,"The Parallel Challenge Ballgame",108,1038
0,1102,-1,"Constructing Roads",14764,40266
1,1103,-1,"Flo's Restaurant",1290,3839
0,1104,-1,"Remainder",1403,5304
1,1105,-1,"The Wolves and the Sheep",75,1114
0,1106,-1,"排序",29425,99072
1,1107,-1,"武林",1714,6225
0,1108,-1,"最小公倍数",51408,96224
1,1109,-1,"Run Away",934,2403
0,1110,-1,"Equipment Box",932,3500
1,1111,-1,"Secret Code",550,1890
0,1112,-1,"The Proper Key",286,956
1,1113,-1,"Word Amalgamation",3539,7306
0,1114,-1,"Piggy-Bank",26661,54373
1,1115,-1,"Lifting the Stone",4844,11459
0,1116,-1,"Play on Words",4353,12428
1,1117,-1,"Booklet Printing",915,2516
0,1119,-1,"Simple Algorithmetics",228,1637
1,1120,-1,"The Bulk",7,830
0,1121,-1,"Complete the Sequence",745,1257
1,1122,-1,"Direct Visibility",12,834
0,1123,-1,"Complicated Expressions",200,952
1,1124,-1,"Factorial",3760,5846
0,1128,-1,"Self Numbers",4264,9888
1,1129,-1,"Do the Untwist",1364,2332
0,1130,-1,"How Many Trees?",2988,5391
1,1131,-1,"Count the Trees  ",1779,2924
0,1133,-1,"Buy the Ticket",4094,9710
1,1134,-1,"Game of Connections",3894,7243
0,1140,-1,"War on Weather",514,948
1,1141,-1,"Factstone Benchmark",1608,2967
0,1142,-1,"A Walk Through the Forest",4366,11832
1,1143,-1,"Tri Tiling",3764,6572
0,1144,-1,"Prerequisites?",952,1799
1,1145,-1,"So you want to be a 2n-aire?",457,729
0,1146,-1,"Ferry Loading III",188,794
1,1147,-1,"Pick-up sticks",1542,4132
0,1148,-1,"Rock-Paper-Scissors Tournament",922,2748
1,1149,-1,"Structural Equivalence",11,535
0,1150,-1,"Machine Schedule",6550,13151
1,1151,-1,"Air Raid",5646,8363
0,1152,-1,"Brownie Points I",623,1040
1,1153,-1,"Magic Bitstrings ",355,740
0,1154,-1,"Cutting a Polygon",340,1067
1,1155,-1,"Bungee Jumping",825,1938
0,1156,-1,"Brownie Points II",189,805
1,1157,-1,"Who's in the Middle",12398,30256
0,1158,-1,"Employment Planning",3737,8669
1,1159,-1,"Common Subsequence",31541,67877
0,1160,-1,"FatMouse's Speed",13430,30184
1,1161,-1,"Eddy's mistakes",8854,16306
0,1162,-1,"Eddy's picture",7123,14540
1,1163,-1,"Eddy's digital Roots",5203,9848
0,1164,-1,"Eddy's research I",9025,14807
1,1165,-1,"Eddy's research II",2485,6963
0,1166,-1,"敌兵布阵",77133,193821
1,1170,-1,"Balloon Comes!",19361,54009
0,1171,-1,"Big Event in HDU",21962,65608
1,1172,-1,"猜数字",5683,10485
0,1173,-1,"采矿",2829,6158
1,1174,-1,"爆头",1798,3974
0,1175,-1,"连连看",14533,56992
1,1176,-1,"免费馅饼",32903,94928
0,1177,-1,"\"Accepted today?\"",2199,5458
1,1178,-1,"Heritage from father",3029,7881
0,1179,-1,"Ollivanders: Makers of Fine Wands since 382 BC.",1649,3021
1,1180,-1,"诡异的楼梯",6466,25217
0,1181,-1,"变形课",14875,42360
1,1182,-1,"Chessmen",113,1037
0,1183,-1,"Not magic,but logic.",5,608
1,1194,-1,"Beat the Spread!",5507,10810
0,1195,-1,"Open the Lock",4128,9348
1,1196,-1,"Lowest Bit",12629,17752
0,1197,-1,"Specialized Four-Digit Numbers",9805,13795
1,1198,-1,"Farm Irrigation",6053,14161
0,1199,-1,"Color the Ball",1776,7158
1,1201,-1,"18岁生日",16414,51069
0,1202,-1,"The calculation of GPA",10005,43896
1,1203,-1,"I NEED A OFFER!",18305,46550
0,1204,-1,"糖果大战",1756,4819
1,1205,-1,"吃糖果",19259,67434
0,1206,-1,"劲乐团",7,672
1,1207,-1,"汉诺塔II",7071,15052
0,1208,-1,"Pascal's Travels ",1686,3722
1,1209,-1,"Clock",2799,8856
0,1210,-1,"Eddy's 洗牌问题",4274,6695
1,1211,-1,"RSA",2546,4058
0,1212,-1,"Big Number",8419,12629
1,1213,-1,"How Many Tables",37854,74982
0,1214,-1,"圆桌会议",5804,8578
1,1215,-1,"七夕节",21251,65016
0,1216,-1,"Assistance Required",2059,3941
1,1217,-1,"Arbitrage",6274,13737
0,1218,-1,"Blurred Vision",711,1022
1,1219,-1,"AC Me",12425,30898
0,1220,-1,"Cube",3253,4371
1,1221,-1,"Rectangle and Circle",1696,6692
0,1222,-1,"Wolf and Rabbit",7486,15775
1,1223,-1,"Order Count",765,2368
0,1224,-1,"Free DIY Tour",3870,11969
1,1225,-1,"Football Score",2371,8937
0,1226,-1,"超级密码",2150,6353
1,1227,-1,"Fast Food",1615,3750
0,1228,-1,"A + B",14412,24271
1,1229,-1,"还是A+B",13054,27662
0,1230,-1,"火星A+B",5531,15864
1,1231,-1,"最大连续子序列",22278,48706
0,1232,-1,"畅通工程",52197,97778
1,1233,-1,"还是畅通工程",38224,84403
0,1234,-1,"开门人和关门人",12910,26127
1,1235,-1,"统计同成绩学生人数",17955,31959
0,1236,-1,"排名",14103,39085
1,1237,-1,"简单计算器",15731,44036
0,1238,-1,"Substrings",7824,15822
1,1239,-1,"Calling Extraterrestrial Intelligence Again",3781,7237
0,1240,-1,"Asteroids!",5022,8214
1,1241,-1,"Oil Deposits",39808,68993
0,1242,-1,"Rescue",16796,49999
1,1243,-1,"反恐训练营",2192,8541
0,1244,-1,"Max Sum Plus Plus Plus",1176,2415
1,1245,-1,"Saving James Bond",1102,4911
0,1246,-1,"自共轭Ferrers图",691,1539
1,1247,-1,"Hat’s Words",8598,24511
0,1248,-1,"寒冰王座",15692,30766
1,1249,-1,"三角形",7252,10968
0,1250,-1,"Hat's Fibonacci",5569,16819
1,1251,-1,"统计难题",29696,83685
0,1252,-1,"Hike on a Graph",862,1691
1,1253,-1,"胜利大逃亡",19165,55881
0,1254,-1,"推箱子",3786,12552
1,1255,-1,"覆盖的面积",5787,11793
0,1256,-1,"画8",5092,12463
1,1257,-1,"最少拦截系统",37368,99134
0,1258,-1,"Sum It Up",5405,10317
1,1259,-1,"ZJUTACM",3762,7028
0,1260,-1,"Tickets",8597,17253
1,1261,-1,"字串数",2055,7491
0,1262,-1,"寻找素数对",11957,23950
1,1263,-1,"水果",9173,24392
0,1264,-1,"Counting Squares",1978,4068
1,1265,-1,"Floating Point Presentation",863,1657
0,1266,-1,"Reverse Number",5979,13552
1,1267,-1,"下沙的沙子有几粒？",3022,5820
0,1268,-1,"积木堆砌的城堡",178,980
1,1269,-1,"迷宫城堡",13857,32803
0,1270,-1,"小希的数表",652,2106
1,1271,-1,"整数对",1504,4184
0,1272,-1,"小希的迷宫",28476,90195
1,1273,-1,"漫步森林",3043,4614
0,1274,-1,"展开字符串",2210,4519
1,1275,-1,"两车追及或相遇问题",691,2203
0,1276,-1,"士兵队列训练问题",12119,28743
1,1277,-1,"全文检索",1064,3325
0,1278,-1,"漂亮面料的设计",277,767
1,1279,-1,"验证角谷猜想",8191,17118
0,1280,-1,"前m大的数",11066,33668
1,1281,-1,"棋盘游戏",5980,10219
0,1282,-1,"回文数猜想",7193,12316
1,1283,-1,"最简单的计算机",7375,14465
0,1284,-1,"钱币兑换问题",10840,18090
1,1285,-1,"确定比赛名次",21874,60552
0,1286,-1,"找新朋友",10579,19817
1,1287,-1,"破译密码",3316,7309
0,1288,-1,"Hat's Tea",696,2894
1,1289,-1,"Hat’s IEEE",337,983
0,1290,-1,"献给杭电五十周年校庆的礼物",8734,15674
1,1291,-1,"Closing Ceremony of Sunny Cup",80,552
0,1292,-1,"\"下沙野骆驼\"ACM夏令营",904,1756
1,1293,-1,"The Number of Paths",483,1333
0,1294,-1,"Rooted Trees Problem",382,990
1,1295,-1,"Move Move Look",824,1323
0,1296,-1,"Polynomial Problem",583,1503
1,1297,-1,"Children’s Queue",6495,19415
0,1298,-1,"T9",1697,4740
1,1299,-1,"Diophantus of Alexandria",1688,4228
1,1301,-1,"Jungle Roads",10265,14010
0,1302,-1,"The Snail",3749,5293
1,1303,-1,"Doubles",5752,8622
0,1304,-1,"A Contesting Decision",759,1190
1,1305,-1,"Immediate Decodability",3554,7235
0,1306,-1,"String Matching",745,1464
1,1307,-1,"N-Credible Mazes",405,823
0,1308,-1,"What Day Is It?",1146,2446
1,1309,-1,"Loansome Car Buyer",125,448
0,1310,-1,"Team Rankings",125,492
1,1311,-1,"Relative Relatives",335,847
0,1312,-1,"Red and Black",25214,41544
1,1313,-1,"Round and Round We Go",676,1507
0,1314,-1,"Numerically Speaking",494,1583
1,1315,-1,"Basic",129,834
0,1316,-1,"How Many Fibs?",3627,9447
1,1317,-1,"XYZZY",3031,10363
0,1318,-1,"Palindromes",605,1569
1,1319,-1,"Prime Cuts",1341,3155
0,1320,-1,"Inversion",456,817
1,1321,-1,"Reverse Text",5680,10460
0,1322,-1,"Floppies",347,788
1,1323,-1,"Perfection",2783,4674
0,1324,-1,"Pseudo-Random Numbers",506,1154
1,1325,-1,"Is It A Tree?",9235,40053
0,1326,-1,"Box of Bricks",4981,12618
1,1327,-1,"Definite Values",744,1901
0,1328,-1,"IBM Minus One",4885,10272
1,1329,-1,"Hanoi Tower Troubles Again!",834,1282
0,1330,-1,"Deck",1875,3273
1,1331,-1,"Function Run Fun",4279,9529
0,1332,-1,"LC-Display",1067,2768
1,1333,-1,"Smith Numbers",940,2692
0,1334,-1,"Perfect Cubes",2657,5976
1,1335,-1,"Basically Speaking",2045,5001
0,1336,-1,"Word Index",342,838
1,1337,-1,"The Drunk Jailer",1919,2548
0,1338,-1,"Game Prediction",1787,3543
1,1339,-1,"A Simple Task",3917,7178
0,1340,-1,"Cog-Wheels",0,446
1,1341,-1,"Simple Computers",250,642
0,1342,-1,"Lotto",2103,4714
1,1343,-1,"Modular multiplication of polynomials",200,574
0,1344,-1,"Nonst",66,434
1,1345,-1,"Doing Windows",39,392
0,1346,-1,"Coconuts, Revisited",439,1088
1,1347,-1,"Grandpa is Famous",504,1293
0,1348,-1,"Wall",2768,9452
1,1349,-1,"Fold-up Patterns",2,324
0,1350,-1,"Taxi Cab Scheme",994,1995
1,1351,-1,"Leaky Cryptography",34,310
0,1352,-1,"I Conduit!",92,614
1,1353,-1,"Exact Change Only",194,492
0,1354,-1,"Choose Your Own Adventure",76,399
1,1355,-1,"The Peanuts",591,995
0,1356,-1,"The Balance",351,663
1,1357,-1,"Cave Exploration",5,245
0,1358,-1,"Period",9449,20307
1,1359,-1,"As the Crow Flies",9,270
0,1360,-1,"Spell checker",125,540
1,1361,-1,"Parencodings",730,1222
0,1362,-1,"The Bermuda Triangle",117,307
1,1363,-1,"Deformed Wheel",5,345
0,1364,-1,"Illusive Chase",221,489
1,1365,-1,"Puzzle Out",29,389
0,1366,-1,"The Willy Memorial Program",59,270
1,1367,-1,"Parallel Expectations",19,401
0,1368,-1,"University Entrance Examination",49,660
1,1369,-1,"Erdos Numbers",38,363
0,1370,-1,"Biorhythms",2817,7222
1,1371,-1,"Clock",60,436
0,1372,-1,"Knight Moves",10540,18392
1,1373,-1,"Channel Allocation",732,1671
0,1374,-1,"The Circumference of the Circle",896,1229
1,1375,-1,"Chemical Reactions",27,264
0,1376,-1,"Octal Fractions",439,958
1,1377,-1,"A Well-Formed Problem",31,362
0,1378,-1,"Formatting Text",82,389
1,1379,-1,"DNA Sorting",2038,4740
0,1380,-1,"Nonstop Travel",88,339
1,1381,-1,"Crazy Search",1486,4125
0,1382,-1,"Ball Toss",67,261
1,1383,-1,"Company",4,546
0,1384,-1,"Intervals",2346,6671
1,1385,-1,"Minimum Transport Cost",4655,16046
0,1386,-1,"Elevator Simulation",6,390
1,1387,-1,"Team Queue",1853,5122
0,1388,-1,"Input",84,360
1,1389,-1,"Markov Trains",2,270
0,1390,-1,"Binary Numbers",4572,7677
1,1391,-1,"Number Steps",4612,7621
0,1392,-1,"Surround the Trees",6617,17098
1,1393,-1,"Weird Clock",2191,5869
0,1394,-1,"Minimum Inversion Number",18120,32116
1,1395,-1,"2^x mod n = 1",7846,24854
0,1396,-1,"Counting Triangles",1946,3961
1,1397,-1,"Goldbach's Conjecture",3927,10382
0,1398,-1,"Square Coins",12266,17703
1,1399,-1,"Starship Hakodate-maru",704,1045
1,1401,-1,"Solitaire",2292,7812
0,1402,-1,"A * B Problem Plus",9586,34560
1,1403,-1,"Longest Common Substring",3325,9345
0,1404,-1,"Digital Deletions",1525,4324
1,1405,-1,"The Last Practice",3265,13828
0,1406,-1,"完数",15478,42427
1,1407,-1,"测试你是否和LTC水平一样高",8871,26814
0,1408,-1,"盐水的故事",7620,30944
1,1409,-1,"Is It a Number",508,1459
0,1410,-1,"PK武林盟主",511,1820
1,1411,-1,"校庆神秘建筑",1075,2966
0,1412,-1,"{A} + {B}",16885,43060
1,1413,-1,"文件系统",723,1493
0,1414,-1,"银河跳舞机大赛",6,446
1,1415,-1,"Jugs",483,1456
0,1416,-1,"Gizilch ",142,497
1,1417,-1,"Gleaming the Cubes",277,582
0,1418,-1,"抱歉",3414,7135
1,1419,-1,"Dart-a-Mania",6,446
0,1420,-1,"Prepared for New Acmer",5935,15501
1,1421,-1,"搬寝室",14003,41511
0,1422,-1,"重温世界杯",3207,9447
1,1423,-1,"Greatest Common Increasing Subsequence",4201,13146
0,1424,-1,"Increasing Sequences",91,707
1,1425,-1,"sort",26548,107039
0,1426,-1,"Sudoku Killer",4076,14354
1,1427,-1,"速算24点",2104,8078
0,1428,-1,"漫步校园",1981,6253
1,1429,-1,"胜利大逃亡(续)",5102,14184
0,1430,-1,"魔板",1394,5759
1,1431,-1,"素数回文",7433,33012
0,1432,-1,"Lining Up",605,1979
1,1433,-1,"Simply Syntax ",363,724
0,1434,-1,"幸福列车",1550,5216
1,1435,-1,"Stable Match",728,1645
0,1436,-1,"排列组合（二）",300,1400
1,1437,-1,"天气情况",482,1043
0,1438,-1,"钥匙计数之一",1139,2351
1,1439,-1,"Cipher",408,886
0,1440,-1,"Department",5,319
1,1441,-1,"A Logical Problem",5,236
0,1442,-1,"Soundex Indexing",54,265
1,1443,-1,"Joseph",2672,4830
0,1444,-1,"Maya Calendar",406,947
1,1445,-1,"Ride to School",569,1319
0,1446,-1,"Paper Cut",3,460
1,1447,-1,"Fourier's Lines",69,289
0,1448,-1,"The Treasure",52,439
1,1449,-1,"Spiderman",101,367
0,1450,-1,"Pollution",50,298
1,1451,-1,"Area in Triangle",96,321
0,1452,-1,"Happy 2004",1987,2778
1,1453,-1,"City hall",250,482
0,1454,-1,"Pipe",155,411
1,1455,-1,"Sticks",6299,35029
0,1456,-1,"Transportation",212,543
1,1457,-1,"Counting Out",75,338
0,1458,-1,"Tax Avoidance",7,627
1,1459,-1,"Calendar",1,356
0,1460,-1,"Beggar My Neighbour",3,266
1,1461,-1,"Rotations and Reflections",139,289
0,1462,-1,"Word Crosses",690,2270
1,1463,-1,"Anniversaries",8,309
0,1464,-1,"Telephone Numbers",1,304
1,1465,-1,"不容易系列之一",15370,35403
0,1466,-1,"计算直线的交点数",5414,11953
1,1467,-1,"Triangles",184,546
0,1468,-1,"Instant Complexity",85,227
1,1469,-1,"Video Surveillance",146,509
0,1470,-1,"Island of Logic",53,204
1,1471,-1,"MBone",3,138
0,1472,-1,"There's Treasure Everywhere!",72,235
1,1474,-1,"Always On the Run",129,268
0,1475,-1,"Keeps Going and Going and ...",2,174
1,1476,-1,"Scheduling Lectures",102,387
0,1477,-1,"Metal Cutting",1,206
1,1478,-1,"Parallel Deadlock",2,180
0,1479,-1,"Numbers That Count",189,481
1,1480,-1,"钥匙计数之二",861,1534
0,1482,-1,"Counterfeit Dollar",433,1079
1,1483,-1,"Automatic Correction of Misspellings",116,410
0,1484,-1,"Basic wall maze",230,560
1,1485,-1,"Construct the wall maze",11,269
0,1486,-1,"Dihedral groups",33,238
1,1487,-1,"Economic phone calls",54,255
0,1488,-1,"Flavius Josephus Reloaded",105,287
1,1489,-1,"Wine trading in Gergovia",207,461
0,1490,-1,"Homogeneous squares",161,377
1,1491,-1,"Octorber 21st",4603,7808
0,1492,-1,"The number of divisors(约数) about Humble Numbers",3580,8107
1,1493,-1,"QQpet exploratory park",922,1868
0,1494,-1,"跑跑卡丁车",2061,5592
1,1495,-1,"非常可乐",17206,43831
0,1496,-1,"Equations",5671,14084
1,1497,-1,"Simple Library Management System",1362,5369
0,1498,-1,"50 years, 50 colors",2476,4549
1,1501,-1,"Zipper",5299,14605
0,1502,-1,"Regular Words",1220,3078
1,1503,-1,"Advanced Fruits",3729,7152
0,1504,-1,"Disk Tree",216,746
1,1505,-1,"City Game",4226,9793
0,1506,-1,"Largest Rectangle in a Histogram",11740,35337
1,1507,-1,"Uncle Tom's Inherited Land*",2083,4875
0,1508,-1,"Alphacode",556,1634
1,1509,-1,"Windows Message Queue",5293,12604
0,1510,-1,"White Rectangles",653,1376
1,1511,-1,"Increasing Sequences",168,485
0,1512,-1,"Monkey King",3619,8514
1,1513,-1,"Palindrome",2519,8135
0,1514,-1,"Free Candies",332,676
1,1515,-1,"Anagrams by Stack",1502,3116
0,1516,-1,"String Distance and Transform Process",402,856
1,1517,-1,"A Multiplication Game",5134,9228
0,1518,-1,"Square",7385,24037
1,1519,-1,"Think Positive",147,436
0,1520,-1,"Anniversary party",10096,29770
1,1521,-1,"排列组合",3311,7774
0,1522,-1,"Marriage is Stable",1055,2064
1,1523,-1,"Decoding Morse Sequences",153,362
0,1524,-1,"A Chess Game",1443,3231
1,1525,-1,"Euclid's Game",3331,7083
0,1526,-1,"A Plug for UNIX",336,1299
1,1527,-1,"取石子游戏",8219,14041
0,1528,-1,"Card Game Cheater",1811,3436
1,1529,-1,"Cashier Employment",1007,2194
0,1530,-1,"Maximum Clique",4194,8745
1,1531,-1,"King",1223,2817
0,1532,-1,"Drainage Ditches",13888,29610
1,1533,-1,"Going Home",4746,9020
0,1534,-1,"Schedule Problem",1291,2824
1,1535,-1,"Invitation Cards",3036,6973
0,1536,-1,"S-Nim",5379,13392
1,1537,-1,"Rubik's Cube",115,523
0,1538,-1,"A Puzzle for Pirates",665,1783
1,1539,-1,"Shredding Company",356,1105
0,1540,-1,"Tunnel Warfare",9455,25911
1,1541,-1,"Stars",6801,19109
0,1542,-1,"Atlantis",11361,28876
1,1543,-1,"Paint the Wall",500,1480
0,1544,-1,"Palindromes",952,2001
1,1545,-1,"01-K Code",298,918
0,1546,-1,"Idiomatic Phrases Game",1773,5367
1,1547,-1,"Bubble Shooter",860,2103
0,1548,-1,"A strange lift",16969,48703
1,1551,-1,"Cable master",4054,12285
0,1553,-1,"Library",1,207
1,1554,-1,"Pairs of integers",115,457
0,1555,-1,"How many days?",6678,11915
1,1556,-1,"Color the ball",22129,48762
0,1557,-1,"权利指数",1614,2689
1,1558,-1,"Segment set",2444,6450
0,1559,-1,"最大子矩阵",5059,9905
1,1560,-1,"DNA sequence",3287,7406
0,1561,-1,"The more, The Better",7336,12753
1,1562,-1,"Guess the number",5160,7286
0,1563,-1,"Find your present!",3860,6009
1,1564,-1,"Play a game",4422,5542
0,1565,-1,"方格取数(1)",5510,15609
1,1566,-1,"奇怪的公式",162,699
0,1567,-1,"2006",315,1054
1,1568,-1,"Fibonacci",3640,7704
0,1569,-1,"方格取数(2)",2562,8022
1,1570,-1,"A C",4816,7348
0,1571,-1,"下沙小面的(1)",687,1692
1,1572,-1,"下沙小面的(2)",1281,2946
0,1573,-1,"X问题",3834,10495
1,1574,-1,"RP问题",576,1409
0,1575,-1,"Tr A",8206,11332
1,1576,-1,"A/B",13935,17375
0,1577,-1,"WisKey的眼神",1490,5000
1,1578,-1,"Martian Mining",83,214
0,1579,-1,"Function Run Fun",1953,3725
1,1580,-1,"Always On the Run",111,192
0,1581,-1,"Number Game",53,363
1,1582,-1,"AC Again",261,675
0,1583,-1,"DNA Assembly",149,398
1,1584,-1,"蜘蛛牌",3828,9135
0,1585,-1,"Auto Love-letter Maker",7,175
1,1586,-1,"Sending",9,329
0,1587,-1,"Flowers",3819,5865
1,1588,-1,"Gauss Fibonacci",1796,4115
0,1589,-1,"Stars Couple",249,1182
1,1590,-1,"Searching",100,573
0,1591,-1,"Encoded Love-letter",752,1999
1,1592,-1,"Half of and a Half",643,1394
0,1593,-1,"find a way to escape",1155,3194
1,1594,-1,"find the max",553,1035
0,1595,-1,"find the longest of the shortest",2739,7136
1,1596,-1,"find the safest road",7447,22247
0,1597,-1,"find the nth digit",5830,17932
1,1598,-1,"find the most comfortable road",4861,11516
0,1599,-1,"find the mincost route",4357,12090
1,1601,-1,"Galactic Import",66,319
0,1602,-1,"Mark-up",22,267
1,1603,-1,"A Puzzling Problem",197,525
0,1604,-1,"Letter Sequence Analysis",18,224
1,1605,-1,"Gears on a Board",2,199
0,1606,-1,"Excuses, Excuses!",373,806
1,1607,-1,"Station Balance",36,413
0,1608,-1,"Centipede Collisions",30,214
1,1609,-1,"The Game of Master-Mind",37,192
0,1610,-1,"Hotline",7,188
1,1611,-1,"I-Keyboard",64,278
0,1612,-1,"The Blocks Problem",170,1639
1,1613,-1,"Ecological Bin Packing ",601,976
0,1614,-1,"Stacking Boxes",99,465
1,1615,-1,"Fermat vs. Pythagoras",93,254
0,1616,-1,"SCUD Busters",118,342
1,1617,-1,"Meta-Loopless Sorts",52,466
0,1618,-1,"Climbing Trees",6,326
1,1619,-1,"Unidirectional TSP",820,1709
0,1620,-1,"Mutant Flatworld Explorers",68,235
1,1621,-1,"Pipe Fitters",78,214
0,1622,-1,"Trees on the level",997,2574
1,1623,-1,"Searching Quickly",58,315
0,1624,-1,"The Errant Physicist ",4,148
1,1625,-1,"Numbering Paths",165,414
0,1626,-1,"Software CRC",69,240
1,1627,-1,"Krypton Factor",344,777
0,1628,-1,"Roman Roulette",294,628
1,1629,-1,"The Psychic Poker Player",59,279
0,1630,-1,"Bumpy Objects",10,228
1,1631,-1,"Loglan-A Logical Language",39,239
0,1632,-1,"Polygons",239,624
1,1633,-1,"Orchard Trees",133,564
0,1634,-1,"Forests",1,202
1,1635,-1,"Double Time ",69,225
0,1636,-1,"Route Finding",15,200
1,1637,-1,"Calendar",27,302
0,1638,-1,"Beggar My Neighbour  ",49,188
1,1639,-1,"City Directions ",2,187
0,1640,-1,"String Computer",2,310
1,1641,-1,"Stamps",32,284
0,1642,-1,"The Sultan's Successors",28,442
1,1643,-1,"Xenosemantics",2,108
0,1644,-1,"Car Trialling",6,125
1,1645,-1,"Calculator Language",10,195
0,1646,-1,"Network Wars",2,183
1,1647,-1,"Strategy",5,131
0,1648,-1,"Keywords ",11,226
1,1649,-1,"City Navigation",7,260
0,1650,-1,"Eeny Meeny",63,182
1,1651,-1,"Hearts  ",5,225
0,1656,-1,"Synchronous Design ",7,133
1,1658,-1,"Triangle  ",1,199
0,1659,-1,"Spreadsheet",84,246
1,1660,-1,"Peter's Calculator",0,188
0,1661,-1,"Amphiphilic Carbon Molecules ",137,377
1,1662,-1,"Link and Pop -- the Block Game",53,389
